id,name,type,price,shipping_price,description_length,reviews,product_images,product_videos,advertisement,date_listed,user_id,item_id,date_created,date_cart_transition,total_days_before_cart_creation,became_order
52,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,52,3,2025-03-12,2025-03-12,62.0,0
53,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,53,15,2025-04-04,2025-04-04,70.0,0
54,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,54,6,2025-04-04,2025-04-04,79.0,1
55,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,55,1,2025-03-27,2025-03-27,81.0,0
56,game,software,468.83,0,385,158,2,14,28296,2025-01-10,56,7,2025-03-29,2025-04-05,78.0,0
57,mouse,technology,249.32,20.04,449,6039,9,0,46227,2025-01-29,57,2,2025-03-24,2025-03-24,54.0,1
58,mouse,technology,249.32,20.04,449,6039,9,0,46227,2025-01-29,58,2,2025-03-25,2025-03-25,55.0,1
59,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,59,8,2025-03-30,2025-03-30,66.0,1
60,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,60,5,2025-03-31,2025-03-31,66.0,1
61,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,61,8,2025-03-28,2025-03-28,64.0,1
62,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,62,1,2025-03-31,2025-03-31,85.0,0
63,game,software,468.83,0,385,158,2,14,28296,2025-01-10,63,7,2025-03-26,2025-04-02,75.0,0
64,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,64,3,2025-03-11,2025-03-18,61.0,0
65,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,65,15,2025-03-19,2025-03-19,54.0,1
66,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,66,15,2025-03-21,2025-03-21,56.0,1
67,rug,office,170.41,8.65,79,6813,21,7,27175,2025-01-19,67,13,2025-03-21,2025-03-28,61.0,0
68,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,68,1,2025-03-26,2025-03-26,80.0,0
69,plug-in,software,120.63,0,391,7444,19,3,33505,2025-01-17,69,9,2025-03-20,2025-03-20,62.0,1
70,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,70,4,2025-03-19,2025-03-19,63.0,1
71,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,71,6,2025-03-23,2025-03-23,67.0,1
72,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,72,4,2025-03-30,2025-03-30,74.0,1
73,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,73,6,2025-03-23,2025-03-23,67.0,1
74,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,74,8,2025-03-21,2025-03-28,57.0,0
75,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,75,4,2025-03-24,2025-03-24,68.0,1
76,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,76,15,2025-03-30,2025-04-06,65.0,0
77,game,software,468.83,0,385,158,2,14,28296,2025-01-10,77,7,2025-03-09,2025-03-09,58.0,1
78,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,78,3,2025-03-31,2025-03-31,81.0,1
79,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,79,4,2025-03-25,2025-03-25,69.0,1
80,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,80,5,2025-03-26,2025-03-26,61.0,1
81,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,81,15,2025-03-22,2025-03-22,57.0,1
82,plug-in,software,120.63,0,391,7444,19,3,33505,2025-01-17,82,9,2025-03-31,2025-03-31,73.0,1
83,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,83,4,2025-03-10,2025-03-10,54.0,1
84,game,software,468.83,0,385,158,2,14,28296,2025-01-10,84,7,2025-03-16,2025-03-23,65.0,0
85,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,85,15,2025-03-24,2025-03-24,59.0,0
86,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,86,5,2025-03-19,2025-03-19,54.0,1
87,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,87,6,2025-03-12,2025-03-12,56.0,1
88,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,88,10,2025-03-21,2025-03-28,68.0,0
89,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,89,11,2025-03-20,2025-03-27,53.0,0
90,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,90,12,2025-04-01,2025-04-01,73.0,1
91,mouse,technology,249.32,20.04,449,6039,9,0,46227,2025-01-29,91,2,2025-03-29,2025-03-29,59.0,1
92,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,92,4,2025-03-16,2025-03-16,60.0,1
93,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,93,5,2025-04-02,2025-04-02,68.0,1
94,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,94,5,2025-03-14,2025-03-14,49.0,1
95,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,95,6,2025-03-08,2025-03-08,52.0,1
96,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,96,12,2025-03-10,2025-03-10,51.0,1
97,rug,office,170.41,8.65,79,6813,21,7,27175,2025-01-19,97,13,2025-03-25,2025-03-25,65.0,1
98,lamp,office,236.88,8.64,89,1953,21,15,16603,2025-01-12,98,14,2025-03-24,2025-03-24,71.0,0
99,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,99,12,2025-03-11,2025-03-11,52.0,1
100,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,100,12,2025-03-26,2025-03-26,67.0,1
101,plug-in,software,120.63,0,391,7444,19,3,33505,2025-01-17,101,9,2025-03-15,2025-03-15,57.0,1
102,mouse,technology,249.32,20.04,449,6039,9,0,46227,2025-01-29,102,2,2025-03-13,2025-03-13,43.0,1
103,game,software,468.83,0,385,158,2,14,28296,2025-01-10,103,7,2025-03-20,2025-03-27,69.0,0
104,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,104,15,2025-03-11,2025-03-11,46.0,0
105,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,105,12,2025-04-01,2025-04-01,73.0,1
106,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,106,4,2025-03-10,2025-03-10,54.0,1
107,game,software,468.83,0,385,158,2,14,28296,2025-01-10,107,7,2025-03-18,2025-03-18,67.0,1
108,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,108,1,2025-03-30,2025-03-30,84.0,0
109,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,109,15,2025-03-31,2025-03-31,66.0,1
110,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,110,3,2025-03-23,2025-03-30,73.0,0
111,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,111,15,2025-04-05,2025-04-05,71.0,0
112,plug-in,software,120.63,0,391,7444,19,3,33505,2025-01-17,112,9,2025-03-27,2025-03-27,69.0,1
113,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,113,3,2025-03-31,2025-03-31,81.0,0
114,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,114,5,2025-03-10,2025-03-10,45.0,1
115,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,115,4,2025-03-26,2025-03-26,70.0,1
116,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,116,3,2025-03-26,2025-04-02,76.0,0
117,rug,office,170.41,8.65,79,6813,21,7,27175,2025-01-19,117,13,2025-03-30,2025-03-30,70.0,1
118,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,118,11,2025-04-03,2025-04-10,67.0,0
119,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,119,3,2025-03-22,2025-03-22,72.0,0
120,plug-in,software,120.63,0,391,7444,19,3,33505,2025-01-17,120,9,2025-03-24,2025-03-24,66.0,1
121,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,121,5,2025-03-09,2025-03-09,44.0,1
122,rug,office,170.41,8.65,79,6813,21,7,27175,2025-01-19,122,13,2025-03-30,2025-03-30,70.0,1
123,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,123,10,2025-03-20,2025-03-20,67.0,0
124,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,124,15,2025-03-25,2025-04-01,60.0,0
125,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,125,3,2025-03-21,2025-03-21,71.0,1
126,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,126,5,2025-04-03,2025-04-03,69.0,1
127,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,127,15,2025-03-15,2025-03-15,50.0,1
128,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,128,12,2025-03-17,2025-03-17,58.0,1
129,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,129,8,2025-03-11,2025-03-11,47.0,1
130,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,130,1,2025-03-29,2025-04-05,83.0,0
131,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,131,6,2025-04-03,2025-04-03,78.0,1
132,game,software,468.83,0,385,158,2,14,28296,2025-01-10,132,7,2025-03-28,2025-03-28,77.0,0
133,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,133,4,2025-04-03,2025-04-03,78.0,1
134,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,134,10,2025-03-23,2025-03-23,70.0,0
135,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,135,8,2025-03-08,2025-03-08,44.0,1
136,game,software,468.83,0,385,158,2,14,28296,2025-01-10,136,7,2025-03-21,2025-03-21,70.0,1
137,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,137,4,2025-03-28,2025-03-28,72.0,1
138,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,138,4,2025-04-02,2025-04-02,77.0,1
139,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,139,1,2025-03-24,2025-03-24,78.0,0
140,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,140,1,2025-03-15,2025-03-15,69.0,0
141,plug-in,software,120.63,0,391,7444,19,3,33505,2025-01-17,141,9,2025-03-21,2025-03-21,63.0,1
142,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,142,1,2025-03-10,2025-03-17,64.0,0
143,rug,office,170.41,8.65,79,6813,21,7,27175,2025-01-19,143,13,2025-03-20,2025-03-27,60.0,0
144,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,144,8,2025-03-26,2025-03-26,62.0,0
145,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,145,8,2025-03-24,2025-03-31,60.0,0
146,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,146,3,2025-03-22,2025-03-22,72.0,1
147,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,147,1,2025-03-16,2025-03-16,70.0,0
148,lamp,office,236.88,8.64,89,1953,21,15,16603,2025-01-12,148,14,2025-03-09,2025-03-16,56.0,0
149,game,software,468.83,0,385,158,2,14,28296,2025-01-10,149,7,2025-03-15,2025-03-15,64.0,1
150,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,150,12,2025-03-20,2025-03-20,61.0,1
151,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,151,15,2025-04-01,2025-04-08,67.0,0
152,mouse,technology,249.32,20.04,449,6039,9,0,46227,2025-01-29,152,2,2025-03-31,2025-03-31,61.0,1
153,mouse,technology,249.32,20.04,449,6039,9,0,46227,2025-01-29,153,2,2025-04-01,2025-04-01,62.0,1
154,game,software,468.83,0,385,158,2,14,28296,2025-01-10,154,7,2025-03-22,2025-03-22,71.0,1
155,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,155,4,2025-04-02,2025-04-02,77.0,1
156,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,156,11,2025-03-17,2025-03-17,50.0,0
157,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,157,11,2025-03-25,2025-04-01,58.0,0
158,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,158,10,2025-03-18,2025-03-18,65.0,0
159,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,159,8,2025-04-03,2025-04-03,70.0,0
160,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,160,1,2025-03-13,2025-03-13,67.0,0
161,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,161,4,2025-03-31,2025-03-31,75.0,1
162,mouse,technology,249.32,20.04,449,6039,9,0,46227,2025-01-29,162,2,2025-03-24,2025-03-24,54.0,1
163,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,163,12,2025-03-27,2025-03-27,68.0,1
164,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,164,3,2025-03-22,2025-03-22,72.0,1
165,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,165,8,2025-03-27,2025-04-03,63.0,0
166,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,166,6,2025-04-03,2025-04-03,78.0,1
167,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,167,10,2025-03-17,2025-03-24,64.0,0
168,plug-in,software,120.63,0,391,7444,19,3,33505,2025-01-17,168,9,2025-03-18,2025-03-18,60.0,1
169,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,169,10,2025-03-28,2025-04-04,75.0,0
170,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,170,11,2025-03-11,2025-03-11,44.0,0
171,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,171,11,2025-03-18,2025-03-18,51.0,0
172,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,172,11,2025-03-17,2025-03-24,50.0,0
173,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,173,15,2025-04-04,2025-04-04,70.0,1
174,plug-in,software,120.63,0,391,7444,19,3,33505,2025-01-17,174,9,2025-03-30,2025-03-30,72.0,1
175,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,175,8,2025-03-19,2025-03-26,55.0,0
176,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,176,4,2025-03-17,2025-03-17,61.0,1
177,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,177,15,2025-03-23,2025-03-23,58.0,1
178,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,178,5,2025-03-21,2025-03-21,56.0,1
179,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,179,4,2025-04-05,2025-04-05,80.0,1
180,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,180,4,2025-03-16,2025-03-16,60.0,1
181,plug-in,software,120.63,0,391,7444,19,3,33505,2025-01-17,181,9,2025-03-15,2025-03-15,57.0,1
182,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,182,4,2025-03-20,2025-03-20,64.0,1
183,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,183,12,2025-03-24,2025-03-24,65.0,1
184,plug-in,software,120.63,0,391,7444,19,3,33505,2025-01-17,184,9,2025-03-22,2025-03-22,64.0,1
185,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,185,11,2025-03-23,2025-03-23,56.0,0
186,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,186,3,2025-03-28,2025-03-28,78.0,1
187,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,187,5,2025-03-22,2025-03-22,57.0,1
188,USB,technology,205.45,5.3,389,5728,8,10,35694,2025-01-24,188,5,2025-03-21,2025-03-21,56.0,1
189,chair,office,152.86,15.07,375,4658,3,14,4312,2025-01-26,189,11,2025-03-29,2025-04-05,62.0,0
190,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,190,6,2025-03-23,2025-03-23,67.0,1
191,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,191,10,2025-03-29,2025-04-05,76.0,0
192,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,192,1,2025-03-17,2025-03-17,71.0,0
193,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,193,1,2025-03-23,2025-03-23,77.0,0
194,game,software,468.83,0,385,158,2,14,28296,2025-01-10,194,7,2025-03-14,2025-03-14,63.0,0
195,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,195,4,2025-04-02,2025-04-02,77.0,1
196,rug,office,170.41,8.65,79,6813,21,7,27175,2025-01-19,196,13,2025-03-29,2025-03-29,69.0,1
197,game,software,468.83,0,385,158,2,14,28296,2025-01-10,197,7,2025-03-12,2025-03-12,61.0,1
198,shelf,office,335.18,16.19,33,3176,10,6,22650,2025-01-24,198,15,2025-03-18,2025-03-18,53.0,0
199,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,199,1,2025-03-13,2025-03-20,67.0,0
200,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,200,6,2025-03-31,2025-03-31,75.0,1
201,game,software,468.83,0,385,158,2,14,28296,2025-01-10,201,7,2025-03-26,2025-03-26,75.0,1
202,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,202,3,2025-03-18,2025-03-18,68.0,1
203,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,203,3,2025-03-24,2025-03-31,74.0,0
204,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,204,8,2025-03-23,2025-03-30,59.0,0
205,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,205,1,2025-03-23,2025-03-30,77.0,0
206,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,206,1,2025-03-27,2025-03-27,81.0,0
207,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,207,1,2025-03-26,2025-04-02,80.0,0
208,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,208,8,2025-03-26,2025-03-26,62.0,0
209,game,software,468.83,0,385,158,2,14,28296,2025-01-10,209,7,2025-03-06,2025-03-06,55.0,1
210,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,210,6,2025-03-17,2025-03-17,61.0,1
211,game,software,468.83,0,385,158,2,14,28296,2025-01-10,211,7,2025-03-17,2025-03-17,66.0,1
212,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,212,4,2025-03-18,2025-03-18,62.0,1
213,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,213,10,2025-03-26,2025-04-02,73.0,0
214,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,214,1,2025-03-25,2025-03-25,79.0,0
215,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,215,10,2025-03-21,2025-03-21,68.0,0
216,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,216,1,2025-04-01,2025-04-08,86.0,0
217,rug,office,170.41,8.65,79,6813,21,7,27175,2025-01-19,217,13,2025-03-17,2025-03-17,57.0,1
218,rug,office,170.41,8.65,79,6813,21,7,27175,2025-01-19,218,13,2025-04-04,2025-04-04,75.0,0
219,webinar,software,191.28,0,195,4712,19,4,14768,2025-01-12,219,10,2025-03-24,2025-03-24,71.0,0
220,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,220,1,2025-03-16,2025-03-23,70.0,0
221,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,221,3,2025-03-20,2025-03-20,70.0,1
222,mouse,technology,249.32,20.04,449,6039,9,0,46227,2025-01-29,222,2,2025-04-05,2025-04-05,66.0,1
223,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,223,8,2025-03-14,2025-03-21,50.0,0
224,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,224,1,2025-03-19,2025-03-19,73.0,0
225,mouse,technology,249.32,20.04,449,6039,9,0,46227,2025-01-29,225,2,2025-03-12,2025-03-12,42.0,1
226,ebook,software,130.52,0,140,6420,2,5,39383,2025-01-15,226,6,2025-03-30,2025-03-30,74.0,1
227,plug-in,software,120.63,0,391,7444,19,3,33505,2025-01-17,227,9,2025-03-29,2025-03-29,71.0,1
228,charger,technology,53.19,12.38,119,554,11,3,34374,2025-01-15,228,4,2025-03-04,2025-03-04,48.0,1
229,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,229,12,2025-03-07,2025-03-07,48.0,1
230,game,software,468.83,0,385,158,2,14,28296,2025-01-10,230,7,2025-03-13,2025-03-13,62.0,1
231,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,231,12,2025-03-12,2025-03-12,53.0,1
232,program,software,133.57,0,349,1035,0,12,24537,2025-01-23,232,8,2025-03-16,2025-03-16,52.0,1
233,keyboard,technology,208.94,17.79,71,7269,5,13,20953,2025-01-09,233,3,2025-03-20,2025-03-20,70.0,0
234,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,234,1,2025-03-26,2025-03-26,80.0,0
235,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,235,12,2025-03-17,2025-03-17,58.0,1
236,desk,office,371.81,15.58,133,8343,10,14,41986,2025-01-18,236,12,2025-04-01,2025-04-01,73.0,1
237,mouse,technology,249.32,20.04,449,6039,9,0,46227,2025-01-29,237,2,2025-03-16,2025-03-16,46.0,1
238,monitor,technology,171.04,14.47,175,8661,10,12,1179,2025-01-05,238,1,2025-03-28,2025-03-28,82.0,0
